NM_001010975.1	Ant	ADP/ATP translocase
XM_016912067.1	nAChRa3	nicotinic acetylcholine receptor alpha3 subunit
XM_016912068.1	LOC102654091	meckelin
XM_016912069.1	LOC725867	translin-associated protein X
XM_016912070.1	LOC408822	uncharacterized LOC408822
XM_016912071.1	LOC411058	uncharacterized LOC411058
XM_016912072.1	LOC724431	dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase
XM_016912073.1	LOC409334	beta-mannosidase
XM_016912074.1	LOC725298	uncharacterized LOC725298
XM_016912075.1	LOC107963978	uncharacterized protein PFB0145c-like
XM_016912076.1	LOC724349	homeobox protein 2-like
XM_016912077.1	LOC413245	RNA exonuclease 4
XM_016912078.1	LOC107964398	ADP,ATP carrier protein ER-ANT1-like
XM_016912079.1	LOC107964399	sodium/calcium exchanger 1-like
XM_016912080.1	LOC726309	chaoptin-like
XM_016912081.1	LOC412966	pre-mRNA-splicing factor ISY1 homolog
XM_016912082.1	LOC100577015	uncharacterized LOC100577015
XM_016912083.1	LOC100576584	leucine-rich repeat-containing protein 74B-like
XM_016912084.1	LOC725435	ubiquitin carboxyl-terminal hydrolase 45
XM_016912085.1	LOC107964006	uncharacterized LOC107964006
XM_016912086.1	LOC100578733	nose resistant to fluoxetine protein 6
XM_016912087.1	LOC107964400	integrin alpha-4-like
XM_016912088.1	LOC107964401	uncharacterized LOC107964401
XM_016912089.1	LOC107964402	uncharacterized LOC107964402
XM_016912090.1	LOC100576848	ribosomal biogenesis protein LAS1L
XM_016912091.1	LOC413012	EH domain-containing protein 3
XM_016912092.1	LOC726879	uncharacterized LOC726879
XM_016912093.1	LOC107964403	uncharacterized LOC107964403
XM_016912094.1	LOC411133	T-box transcription factor TBX20-like
XM_016912095.1	LOC552810	protein FAM161A
XM_016912096.1	LOC100578346	uncharacterized LOC100578346
XM_016912097.1	LOC409729	zinc finger protein 608-like
XM_016912098.1	LOC409729	zinc finger protein 608-like
XM_016912099.1	LOC409729	zinc finger protein 608-like
XM_016912100.1	LOC409729	zinc finger protein 608-like
XM_016912101.1	LOC409729	zinc finger protein 608-like
XM_016912102.1	LOC409729	zinc finger protein 608-like
XM_016912103.1	LOC409729	zinc finger protein 608-like
XM_016912104.1	LOC409729	zinc finger protein 608-like
XM_016912105.1	LOC409729	zinc finger protein 608-like
XM_016912106.1	LOC409729	zinc finger protein 608-like
XM_016912107.1	LOC726841	focadhesin
XM_016912108.1	LOC726841	focadhesin
XM_016912109.1	LOC552842	uncharacterized protein C1orf43 homolog
XM_016912110.1	LOC726776	uncharacterized aarF domain-containing protein kinase 2-like
XM_016912111.1	LOC726776	uncharacterized aarF domain-containing protein kinase 2-like
XM_016912112.1	LOC100578736	cyclin-dependent kinase 8-like
XM_016912113.1	LOC408821	uncharacterized LOC408821
XM_016912114.1	LOC107964404	protein phosphatase 1B-like
XM_016912115.1	LOC107964405	uncharacterized LOC107964405
XM_016912116.1	LOC100577803	uncharacterized LOC100577803
XM_016912117.1	LOC408845	protein unc-79 homolog
XM_016912118.1	LOC409606	uncharacterized LOC409606
XM_016912119.1	LOC408845	protein unc-79 homolog
XM_016912120.1	LOC408845	protein unc-79 homolog
XM_016912121.1	LOC408845	protein unc-79 homolog
XM_016912122.1	LOC408844	dual specificity protein phosphatase 10
XM_016912123.1	LOC408844	dual specificity protein phosphatase 10
XM_016912124.1	LOC102653590	protein unc-79 homolog
XM_016912125.1	LOC408847	uroporphyrinogen-III synthase
XM_016912126.1	LOC409606	uncharacterized LOC409606
XM_016912127.1	LOC102654740	tetratricopeptide repeat protein 25-like
XM_016912128.1	LOC102654740	tetratricopeptide repeat protein 25-like
XM_016912129.1	LOC100576965	uncharacterized LOC100576965
XM_016912130.1	LOC100576965	uncharacterized LOC100576965
XM_016912131.1	LOC409924	synaptic vesicle glycoprotein 2B
XM_016912132.1	LOC107964409	uncharacterized LOC107964409
XM_016912133.1	LOC409924	synaptic vesicle glycoprotein 2B
XM_016912134.1	LOC409924	synaptic vesicle glycoprotein 2B
XM_016912135.1	LOC724258	uncharacterized LOC724258
XM_016912136.1	LOC411829	neuroglian
XM_016912137.1	LOC724524	scm-like with four MBT domains protein 1
XM_016912138.1	LOC107964412	N-glycosylase/DNA lyase
XM_016912139.1	LOC100577335	protein rolling stone-like
XM_016912140.1	LOC100577335	protein rolling stone-like
XM_016912141.1	LOC726828	SPRY domain-containing SOCS box protein 3-like
XM_016912142.1	LOC408839	uncharacterized LOC408839
XM_016912143.1	LOC107964415	uncharacterized LOC107964415
XM_016912144.1	LOC107964417	uncharacterized LOC107964417
XM_016912145.1	LOC107964417	uncharacterized LOC107964417
XM_016912146.1	LOC413467	serine/threonine-protein kinase ULK3
XM_016912147.1	LOC100576101	coiled-coil domain-containing protein 61-like
XM_016912148.1	LOC411756	bromodomain adjacent to zinc finger domain protein 1A
XM_016912149.1	LOC727450	uncharacterized LOC727450
XM_016912150.1	LOC408830	muscle M-line assembly protein unc-89
XM_016912151.1	LOC408830	muscle M-line assembly protein unc-89
XM_016912152.1	LOC725732	uncharacterized LOC725732
XM_016912153.1	LOC725833	synaptonemal complex protein ZEP1-like
XM_016912154.1	LOC725833	synaptonemal complex protein ZEP1-like
XM_016912155.1	LOC725833	synaptonemal complex protein ZEP1-like
XM_016912156.1	LOC725833	synaptonemal complex protein ZEP1-like
XM_016912157.1	LOC725833	synaptonemal complex protein ZEP1-like
XM_016912158.1	LOC100577584	putative uncharacterized protein DDB_G0282133
XM_016912159.1	LOC102656326	stress response protein NST1
XM_016912160.1	LOC107964419	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1-like
XM_016912161.1	LOC409456	AT-rich interactive domain-containing protein 4B
XM_016912162.1	LOC413548	intron-binding protein aquarius
XM_016912163.1	LOC107964421	probable G-protein coupled receptor Mth-like 5
XM_016912164.1	LOC411083	sodium/potassium-transporting ATPase subunit alpha
XM_016912165.1	LOC411083	sodium/potassium-transporting ATPase subunit alpha
XM_016912166.1	LOC411083	sodium/potassium-transporting ATPase subunit alpha
XM_016912167.1	LOC411083	sodium/potassium-transporting ATPase subunit alpha
XM_016912168.1	LOC411083	sodium/potassium-transporting ATPase subunit alpha
XM_016912169.1	LOC411083	sodium/potassium-transporting ATPase subunit alpha
XM_016912170.1	LOC100578066	glycogen-binding subunit 76A
XM_016912171.1	LOC411083	sodium/potassium-transporting ATPase subunit alpha
XM_016912172.1	LOC409882	TLD domain-containing protein 2
XM_016912173.1	LOC409882	TLD domain-containing protein 2
XM_016912174.1	LOC409882	TLD domain-containing protein 2
XM_016912175.1	LOC100578215	N-acetylgalactosaminyltransferase 6-like
XM_016912176.1	LOC408826	dystroglycan
XM_016912177.1	LOC408826	dystroglycan
XM_016912178.1	LOC408826	dystroglycan
XM_016912179.1	LOC408826	dystroglycan
XM_016912180.1	LOC100578810	facilitated trehalose transporter Tret1-2 homolog
XM_016912181.1	LOC100578741	uncharacterized LOC100578741
XM_016912182.1	LOC408862	prolyl 4-hydroxylase subunit alpha-1
XM_016912183.1	LOC107964431	uncharacterized LOC107964431
XM_016912184.1	LOC726189	uncharacterized LOC726189
XM_016912185.1	LOC409931	protein FAM69C
XM_016912186.1	LOC408852	protein similar-like
XM_016912187.1	LOC408852	protein similar-like
XM_016912188.1	LOC726337	mitochondrial intermembrane space import and assembly protein 40-B
XM_016912189.1	LOC726337	mitochondrial intermembrane space import and assembly protein 40-B
XM_016912190.1	LOC551919	leupaxin
XM_016912191.1	LOC551919	leupaxin
XM_016912192.1	LOC551919	leupaxin
XM_016912193.1	LOC551919	leupaxin
XM_016912194.1	LOC551919	leupaxin
XM_016912195.1	LOC551919	leupaxin
XM_016912196.1	LOC551919	leupaxin
XM_016912197.1	LOC411665	heparan sulfate 2-O-sulfotransferase pipe
XM_016912198.1	LOC100578382	interaptin-like
XM_016912199.1	LOC409444	AMP deaminase 2
XM_016912200.1	LOC409444	AMP deaminase 2
XM_016912201.1	LOC409444	AMP deaminase 2
XM_016912202.1	LOC552679	cytochrome P450 4c3
XM_016912203.1	LOC107964437	THAP domain-containing protein 4-like
XM_016912204.1	LOC725569	UDP-xylose and UDP-N-acetylglucosamine transporter
XM_016912205.1	LOC726703	venom acid phosphatase Acph-1
XM_016912206.1	LOC726703	venom acid phosphatase Acph-1
XM_016912207.1	LOC726703	venom acid phosphatase Acph-1
XM_016912208.1	LOC551369	actin, clone 205-like
XM_016912209.1	LOC724607	protein kinase C-like
XM_016912210.1	LOC413169	presenilin-1
XM_016912211.1	LOC413169	presenilin-1
XM_016912212.1	LOC551830	ral GTPase-activating protein subunit alpha-1
XM_016912213.1	LOC100579056	zinc finger protein 1-like
XM_016912214.1	LOC107964441	uncharacterized LOC107964441
XM_016912215.1	LOC414033	molybdopterin synthase catalytic subunit
XM_016912216.1	LOC411088	probable maleylacetoacetate isomerase 2
XM_016912217.1	LOC100576196	uncharacterized LOC100576196
XM_016912218.1	LOC411093	testis-specific serine/threonine-protein kinase 1
XM_016912219.1	LOC411093	testis-specific serine/threonine-protein kinase 1
XM_016912220.1	LOC107964443	uncharacterized LOC107964443
XM_016912221.1	LOC552079	homeobox protein homothorax
XM_016912222.1	LOC552079	homeobox protein homothorax
XM_016912223.1	LOC552079	homeobox protein homothorax
XM_016912224.1	LOC411115	baculoviral IAP repeat-containing protein 6
XM_016912225.1	LOC725492	sorting nexin-2
XM_016912226.1	LOC725492	sorting nexin-2
XM_016912227.1	LOC727156	vesicle transport protein USE1
XM_016912228.1	LOC727156	vesicle transport protein USE1
XM_016912229.1	LOC727156	vesicle transport protein USE1
XM_016912230.1	LOC409414	kinectin
XM_016912231.1	LOC408857	nephrin-like
XM_016912232.1	LOC408857	nephrin-like
XM_016912233.1	LOC551044	glucose dehydrogenase [FAD, quinone]
XM_016912234.1	LOC411065	monocarboxylate transporter 14-like
XM_016912235.1	LOC411065	monocarboxylate transporter 14-like
XM_016912236.1	LOC411065	monocarboxylate transporter 14-like
XM_016912237.1	LOC411065	monocarboxylate transporter 14-like
XM_016912238.1	LOC411065	monocarboxylate transporter 14-like
XM_016912239.1	LOC724925	delta(14)-sterol reductase
XM_016912240.1	LOC724925	delta(14)-sterol reductase
XM_016912241.1	LOC724925	delta(14)-sterol reductase
XM_016912242.1	LOC724925	delta(14)-sterol reductase
XM_016912243.1	LOC724925	delta(14)-sterol reductase
XM_016912244.1	LOC551420	protein O-mannosyltransferase 1-like
XM_016912245.1	LOC552195	uncharacterized LOC552195
XM_016912246.1	LOC100577896	heat shock factor 2-binding protein-like
XM_016912247.1	LOC412468	protein flightless-1
XM_016912248.1	LOC727009	cytoplasmic tRNA 2-thiolation protein 2
XM_016912249.1	LOC726999	iroquois-class homeodomain protein IRX-6-like
XM_016912250.1	LOC100578017	uncharacterized LOC100578017
XM_016912251.1	LOC100578017	uncharacterized LOC100578017
XM_016912252.1	LOC409500	mitochondrial import receptor subunit TOM22 homolog
XM_016912253.1	LOC411060	dnaJ homolog subfamily C member 13
XM_016912254.1	LOC411060	dnaJ homolog subfamily C member 13
XM_016912255.1	LOC411059	angiogenic factor with G patch and FHA domains 1
XM_016912256.1	LOC102655134	uncharacterized LOC102655134
XM_016912257.1	LOC102655134	uncharacterized LOC102655134
XM_016912258.1	LOC406073	homeobox protein prospero
XM_016912259.1	LOC726683	myosin-VIIa
XM_016912260.1	LOC413870	suppressor of hairless protein
XM_016912261.1	LOC725343	alkyldihydroxyacetonephosphate synthase
XM_016912262.1	LOC552430	N-acylneuraminate-9-phosphatase
XM_016912263.1	LOC408824	immunoglobulin-like and fibronectin type III domain containing 14
XM_016912264.1	LOC408824	immunoglobulin-like and fibronectin type III domain containing 14
XM_016912265.1	LOC408824	immunoglobulin-like and fibronectin type III domain containing 14
XM_016912266.1	LOC725963	golgin subfamily A member 6-like protein 22
XM_016912267.1	LOC102655149	uncharacterized LOC102655149
XM_016912268.1	LOC100576794	pre-mRNA-splicing factor 38A
XM_016912269.1	LOC411114	synaptosomal-associated protein 25
XM_016912270.1	LOC411079	protein grainyhead
XM_016912271.1	LOC411079	protein grainyhead
XM_016912272.1	LOC724537	ubiquitin carboxyl-terminal hydrolase 36
XM_016912273.1	LOC100578665	uncharacterized LOC100578665
XM_016912274.1	LOC552545	division abnormally delayed protein
XM_016912275.1	LOC413711	kidney mitochondrial carrier protein 1
XM_016912276.1	LOC552299	myosin-IA
XM_016912277.1	LOC100578903	uncharacterized LOC100578903
XM_016912278.1	LOC406145	secapin
XM_016912279.1	LOC409818	sodium/calcium exchanger 3
XM_016912280.1	LOC409818	sodium/calcium exchanger 3
XM_016912281.1	LOC409818	sodium/calcium exchanger 3
XM_016912282.1	LOC100576817	zinc finger and BTB domain-containing protein 41
XM_016912283.1	LOC409327	uncharacterized LOC409327
XM_016912284.1	LOC409167	translation elongation factor 2
XM_016912285.1	LOC413630	protein PRRC1-A-like
XM_016912286.1	LOC100579049	zinc finger protein 474-like
XM_016912287.1	LOC552594	cactin
XM_016912288.1	LOC726569	mitochondrial import inner membrane translocase subunit Tim21
XM_016912289.1	LOC411739	stromal interaction molecule homolog
XM_016912290.1	LOC552787	DNA topoisomerase 3-beta-1
XM_016912291.1	LOC552782	dentin sialophosphoprotein
XM_016912292.1	LOC552782	dentin sialophosphoprotein
XM_016912293.1	LOC724348	short-chain dehydrogenase/reductase
XM_016912294.1	LOC726497	autophagy-related protein 2 homolog B
XM_016912295.1	LOC100578718	protein distal antenna
XM_016912296.1	LOC411106	3'(2'),5'-bisphosphate nucleotidase 1
XM_016912297.1	LOC411106	3'(2'),5'-bisphosphate nucleotidase 1
XM_016912298.1	LOC413678	serine--pyruvate aminotransferase, mitochondrial
XM_016912299.1	LOC102654993	dynein regulatory complex subunit 7
XM_016912300.1	LOC411124	phosphoinositide 3-kinase adapter protein 1
XM_016912301.1	LOC413678	serine--pyruvate aminotransferase, mitochondrial
XM_016912302.1	LOC408864	waprin-Phi1-like
XM_016912303.1	LOC100578865	uncharacterized LOC100578865
XM_016912304.1	LOC100578865	uncharacterized LOC100578865
XM_016912305.1	LOC413678	serine--pyruvate aminotransferase, mitochondrial
XM_016912306.1	LOC100578865	uncharacterized LOC100578865
XM_016912307.1	LOC100578865	uncharacterized LOC100578865
XM_016912308.1	LOC107964475	uncharacterized LOC107964475
XM_016912309.1	LOC412378	3'-5' ssDNA/RNA exonuclease TatD
XM_016912310.1	LOC411892	V-type proton ATPase subunit C
XM_016912311.1	LOC411892	V-type proton ATPase subunit C
XM_016912312.1	LOC100577410	uncharacterized LOC100577410
XM_016912313.1	LOC409359	cytoskeleton-associated protein 5
XM_016912314.1	LOC408865	uncharacterized LOC408865
XM_016912315.1	LOC100578576	smoothelin-like protein 1
XM_016912316.1	LOC107964478	uncharacterized LOC107964478
XM_016912317.1	LOC100578984	protein charlatan
XM_016912318.1	LOC100578984	protein charlatan
XM_016912319.1	LOC100578651	uncharacterized LOC100578651
XM_016912320.1	LOC726318	UPF0676 protein C1494.01-like
XM_016912321.1	LOC410035	dorsal-ventral patterning protein Sog
XM_016912322.1	LOC102656335	uncharacterized LOC102656335
XM_016912323.1	LOC550749	C-1-tetrahydrofolate synthase, cytoplasmic
XM_016912324.1	LOC550749	C-1-tetrahydrofolate synthase, cytoplasmic
XM_016912325.1	LOC550749	C-1-tetrahydrofolate synthase, cytoplasmic
XM_016912326.1	LOC552611	protein ABHD4
XM_016912327.1	LOC552611	protein ABHD4
XM_016912328.1	LOC409060	golgin subfamily A member 6-like protein 22
XM_016912329.1	LOC408850	pre-mRNA-processing factor 39-like
XM_016912330.1	LOC727246	protein spire
XM_016912331.1	LOC413705	acidic mammalian chitinase-like
XM_016912332.1	LOC725093	phosphofurin acidic cluster sorting protein 2
XM_016912333.1	LOC725093	phosphofurin acidic cluster sorting protein 2
XM_016912334.1	LOC725093	phosphofurin acidic cluster sorting protein 2
XM_016912335.1	LOC725093	phosphofurin acidic cluster sorting protein 2
XM_016912336.1	LOC725093	phosphofurin acidic cluster sorting protein 2
XM_016912337.1	LOC100576129	uncharacterized LOC100576129
XM_016912338.1	LOC411419	BTB/POZ domain-containing protein KCTD3
XM_016912339.1	LOC409333	CAAX prenyl protease 2
XM_016912340.1	LOC412544	protein dopey-1 homolog
XM_016912341.1	LOC412544	protein dopey-1 homolog
XM_016912342.1	LOC412544	protein dopey-1 homolog
XM_016912343.1	LOC413319	dynein regulatory complex subunit 7-like
XM_016912344.1	LOC413319	dynein regulatory complex subunit 7-like
XM_016912345.1	LOC413319	dynein regulatory complex subunit 7-like
XM_016912346.1	LOC413319	dynein regulatory complex subunit 7-like
XM_016912347.1	LOC413319	dynein regulatory complex subunit 7-like
XM_016912348.1	LOC413319	dynein regulatory complex subunit 7-like
XM_016912349.1	LOC727113	probable ATP-dependent RNA helicase spindle-E
XM_016912350.1	LOC551619	transmembrane protein 8B
XM_016912351.1	LOC551526	G protein pathway suppressor 2
XM_016912352.1	LOC102655168	uncharacterized LOC102655168
XM_016912353.1	LOC411104	homeobox protein Nkx-2.4
XM_016912354.1	LOC411102	G-protein coupled receptor 143-like
XM_016912355.1	LOC411086	protein jagged-1
XM_016912356.1	LOC107964493	uncharacterized LOC107964493
XM_016912357.1	LOC107964494	uncharacterized LOC107964494
XM_016912358.1	LOC552523	L-threonine ammonia-lyase
XM_016912359.1	LOC100577955	odorant receptor 13a-like
XM_016912360.1	LOC100577955	odorant receptor 13a-like
XM_016912361.1	LOC100577955	odorant receptor 13a-like
XM_016912362.1	LOC412968	putative epidermal cell surface receptor
XM_016912363.1	LOC724927	importin-5
XM_016912364.1	LOC412303	choline-phosphate cytidylyltransferase A-like
XM_016912365.1	LOC726957	SAP30-binding protein
XM_016912366.1	LOC411627	retinoblastoma-like protein 1
XM_016912367.1	LOC409782	pikachurin
XM_016912368.1	LOC552094	transcriptional repressor p66-beta
XM_016912369.1	LOC409782	pikachurin
XM_016912370.1	LOC725774	UPF0693 protein C10orf32 homolog
XM_016912371.1	LOC725835	DNA polymerase epsilon subunit 4
XM_016912372.1	LOC413930	tetratricopeptide repeat protein 30A
XM_016912373.1	LOC724891	DNA polymerase epsilon subunit 2
XM_016912374.1	LOC724891	DNA polymerase epsilon subunit 2
XM_016912375.1	LOC552094	transcriptional repressor p66-beta
XM_016912376.1	LOC412858	hemicentin-2-like
XM_016912377.1	LOC412858	hemicentin-2-like
XM_016912378.1	LOC100577683	uncharacterized LOC100577683
XM_016912379.1	LOC725477	transmembrane protein 245
XM_016912380.1	LOC725704	zinc finger FYVE domain-containing protein 26 homolog
XM_016912381.1	LOC725704	zinc finger FYVE domain-containing protein 26 homolog
XM_016912382.1	LOC413766	protein suppressor of hairy wing
XM_016912383.1	LOC102656021	DDB1- and CUL4-associated factor 5
XM_016912384.1	LOC725299	nucleoside-triphosphatase THEP1
XM_016912385.1	LOC107964501	integrin alpha-9-like
XM_016912386.1	LOC551548	L-asparaginase
XM_016912387.1	LOC102655563	uncharacterized LOC102655563
XM_016912388.1	LOC107964502	uncharacterized LOC107964502
XM_016912389.1	LOC551258	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform
XM_016912390.1	LOC409206	tripartite motif-containing protein 2-like
XM_016912391.1	LOC409206	tripartite motif-containing protein 2-like
XM_016912392.1	LOC409206	tripartite motif-containing protein 2-like
XM_016912393.1	LOC551219	DNA polymerase iota
XM_016912394.1	LOC552797	ETS-related transcription factor Elf-5-like
XM_016912395.1	LOC552797	ETS-related transcription factor Elf-5-like
XM_016912396.1	LOC409043	high-affinity choline transporter 1-like
XM_016912397.1	LOC413025	peroxidasin
XM_016912398.1	LOC107964505	uncharacterized LOC107964505
XM_016912399.1	LOC411631	liprin-beta-1
XM_016912400.1	LOC411631	liprin-beta-1
XM_016912401.1	LOC411631	liprin-beta-1
XM_016912402.1	LOC552025	tyrosine--tRNA ligase, mitochondrial
XM_016912403.1	LOC413063	protein ECT2
XM_016912404.1	LOC411657	arylsulfatase B-like
XM_016912405.1	LOC107964507	acyl-coenzyme A thioesterase 13
XM_016912406.1	LOC100576522	odorant receptor 13a-like
XM_016912407.1	LOC412097	AP-3 complex subunit delta-1
XM_016912408.1	LOC100576216	zinc finger protein 1 homolog
XM_016912409.1	LOC100576216	zinc finger protein 1 homolog
XM_016912410.1	LOC409724	ADP-ribosylation factor-binding protein GGA1
XM_016912411.1	LOC551956	proteasome subunit alpha type-5
XM_016912412.1	LOC551982	UPF0692 protein CG33108
XM_016912413.1	LOC551982	UPF0692 protein CG33108
XM_016912414.1	LOC551982	UPF0692 protein CG33108
XM_016912415.1	LOC725898	HSPB1-associated protein 1-like
XM_016912416.1	LOC411604	WD repeat-containing protein 20
XM_016912417.1	LOC411604	WD repeat-containing protein 20
XM_016912418.1	LOC551758	arylsulfatase B-like
XM_016912419.1	LOC100577974	uncharacterized LOC100577974
XM_016912420.1	LOC100577974	uncharacterized LOC100577974
XM_016912421.1	LOC551897	Bardet-Biedl syndrome 4 protein homolog
XM_016912422.1	LOC551897	Bardet-Biedl syndrome 4 protein homolog
XM_016912423.1	LOC551897	Bardet-Biedl syndrome 4 protein homolog
XM_016912424.1	LOC551897	Bardet-Biedl syndrome 4 protein homolog
XM_016912425.1	LOC551897	Bardet-Biedl syndrome 4 protein homolog
XM_016912426.1	LOC551897	Bardet-Biedl syndrome 4 protein homolog
XM_016912427.1	LOC551897	Bardet-Biedl syndrome 4 protein homolog
XM_016912428.1	LOC551897	Bardet-Biedl syndrome 4 protein homolog
XM_016912429.1	LOC412487	annexin B9-like
XM_016912430.1	LOC725364	flightin
XM_016912431.1	LOC409153	zinc finger protein 423-like
XM_016912432.1	LOC552023	guanylate kinase
XM_016912433.1	LOC411919	Wnt7 protein
XM_016912434.1	LOC411919	Wnt7 protein
XM_016912435.1	LOC411919	Wnt7 protein
XM_016912436.1	LOC411919	Wnt7 protein
XM_016912437.1	LOC100577254	potassium voltage-gated channel subfamily KQT member 1-like
XM_016912438.1	LOC413129	sorting nexin-29
XM_016912439.1	LOC413129	sorting nexin-29
XM_016912440.1	LOC413129	sorting nexin-29
XM_016912441.1	LOC100577254	potassium voltage-gated channel subfamily KQT member 1-like
XM_016912442.1	LOC100576359	integrator complex subunit 11
XM_016912443.1	LOC100577254	potassium voltage-gated channel subfamily KQT member 1-like
XM_016912444.1	LOC552413	scaffold protein salvador-like
XM_016912445.1	LOC412445	flavin reductase (NADPH)
XM_016912446.1	LOC726654	T-box protein H15-like
XM_016912447.1	LOC100577254	potassium voltage-gated channel subfamily KQT member 1-like
XM_016912448.1	LOC409047	growth hormone-regulated TBC protein 1
XM_016912449.1	LOC107964515	dynein light chain 4, axonemal-like
XM_016912450.1	LOC100577254	potassium voltage-gated channel subfamily KQT member 1-like
XM_016912451.1	LOC724608	transient receptor potential
XM_016912452.1	LOC107964516	uncharacterized LOC107964516
XM_016912453.1	LOC100578298	probable serine/threonine-protein kinase DDB_G0283337
XM_016912454.1	LOC100578298	probable serine/threonine-protein kinase DDB_G0283337
XM_016912455.1	LOC100578298	probable serine/threonine-protein kinase DDB_G0283337
XM_016912456.1	LOC724218	metallophosphoesterase 1 homolog
XM_016912457.1	LOC409678	ankycorbin
XM_016912458.1	LOC551776	putative mediator of RNA polymerase II transcription subunit 26
XM_016912459.1	LOC551776	putative mediator of RNA polymerase II transcription subunit 26
XM_016912460.1	LOC551776	putative mediator of RNA polymerase II transcription subunit 26
XM_016912461.1	LOC551776	putative mediator of RNA polymerase II transcription subunit 26
XM_016912462.1	LOC551776	putative mediator of RNA polymerase II transcription subunit 26
XM_016912463.1	LOC409752	uncharacterized LOC409752
XM_016912464.1	LOC411507	cyclin-dependent kinase-like 4
XM_016912465.1	LOC551802	radial spoke head protein 6 homolog A
XM_016912466.1	LOC551802	radial spoke head protein 6 homolog A
XM_016912467.1	LOC551802	radial spoke head protein 6 homolog A
XM_016912468.1	LOC409752	uncharacterized LOC409752
XM_016912469.1	LOC724515	centromere-associated protein E
XM_016912470.1	LOC102656199	uncharacterized LOC102656199
XM_016912471.1	LOC724307	short stature homeobox protein 2-like
XM_016912472.1	LOC727431	gustatory receptor for sugar taste 64f
XM_016912473.1	LOC727431	gustatory receptor for sugar taste 64f
XM_016912474.1	LOC727431	gustatory receptor for sugar taste 64f
XM_016912475.1	LOC727431	gustatory receptor for sugar taste 64f
XM_016912476.1	LOC727431	gustatory receptor for sugar taste 64f
XM_016912477.1	LOC107964520	uncharacterized LOC107964520
XM_016912478.1	Cox6c	cytochrome c oxidase subunit VIc
XM_016912479.1	Hbg3	alpha-glucosidase
XM_016912480.1	Hbg3	alpha-glucosidase
XM_016912481.1	LOC725920	vitellogenin receptor
XM_016912482.1	Hbg3	alpha-glucosidase
XM_016912483.1	Gycbeta1	guanylate cyclase, soluble, beta 1
XM_016912484.1	LOC100576291	uncharacterized LOC100576291
XM_016912485.1	Abscam	Dscam family member AbsCAM
XM_016912486.1	LOC100576291	uncharacterized LOC100576291
XM_016912487.1	GlnS	glutamine synthetase
XM_016912488.1	Kr	krueppel
XM_016912489.1	TpnT	troponin T, skeletal muscle
XM_016912490.1	LOC100576291	uncharacterized LOC100576291
XM_016912491.1	TpnT	troponin T, skeletal muscle
XM_016912492.1	TpnT	troponin T, skeletal muscle
XM_016912493.1	LOC100576291	uncharacterized LOC100576291
XM_016912494.1	LOC100576291	uncharacterized LOC100576291
XM_016912495.1	LOC107964525	uncharacterized LOC107964525
XM_016912496.1	LOC100578988	zinc finger MYND domain-containing protein 10 homolog
XM_016912497.1	LOC102656048	uncharacterized LOC102656048
XM_016912498.1	LOC726672	uncharacterized LOC726672
XM_016912499.1	LOC100576291	uncharacterized LOC100576291
XM_016912500.1	LOC102656738	uncharacterized LOC102656738
XM_016912501.1	LOC412756	Bloom syndrome protein homolog
XM_016912502.1	LOC411482	ribosome-recycling factor, mitochondrial
XM_016912503.1	LOC725017	uncharacterized LOC725017
XM_016912504.1	LOC107964526	uncharacterized LOC107964526
XM_016912505.1	LOC102654344	glutamine-rich protein 2-like
XM_016912506.1	LOC409448	collagen alpha-2(IX) chain-like
XM_016912507.1	LOC100578454	uncharacterized LOC100578454
XM_016912508.1	LOC724309	uncharacterized LOC724309
XM_016912509.1	LOC107964527	uncharacterized LOC107964527
XM_016912510.1	LOC551566	uncharacterized LOC551566
XM_016912511.1	LOC100576304	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1-like
XM_016912512.1	LOC107964528	uncharacterized LOC107964528
XM_016912513.1	LOC107964529	uncharacterized LOC107964529
XM_016912514.1	LOC410749	squamous cell carcinoma antigen recognized by T-cells 3
XM_016912515.1	LOC100577647	uncharacterized LOC100577647
XM_016912516.1	LOC552224	dynein heavy chain 1, axonemal
XM_016912517.1	LOC100577805	uncharacterized LOC100577805
XM_016912518.1	LOC107964530	dynein heavy chain 7, axonemal-like
XM_016912519.1	Msx	homeobox protein Msx
XM_016912520.1	LOC412193	coiled-coil domain-containing protein 39
XM_016912521.1	LOC725814	uncharacterized LOC725814
XM_016912522.1	LOC552472	eukaryotic translation initiation factor 2-alpha kinase 1-like
XM_016912523.1	LOC727398	uncharacterized LOC727398
XM_016912524.1	LOC107964531	uncharacterized LOC107964531
XM_016912525.1	LOC100577057	thrombospondin-1-like
XM_016912526.1	LOC552294	far upstream element-binding protein 3
XM_016912527.1	LOC413205	tropomyosin-2-like
XM_016912528.1	LOC413205	tropomyosin-2-like
XM_016912529.1	LOC100578352	uncharacterized LOC100578352
XM_016912530.1	LOC107964534	uncharacterized LOC107964534
XM_016912531.1	LOC552294	far upstream element-binding protein 3
XM_016912532.1	LOC724172	neurobeachin
XM_016912533.1	LOC551600	endochitinase
XM_016912534.1	LOC412287	peptidyl-prolyl cis-trans isomerase FKBP4
XM_016912535.1	LOC551600	endochitinase
